Hour,DC,Bids,Impressions,Spent
2020-01-11 9:00:00,US,2713214,371450,366558
2020-01-11 10:00:00,EU,5509102,1324124,649255
2020-01-11 10:00:00,US,2865404,410553,345873
2020-01-11 11:00:00,EU,5485577,1259343,623093
2020-01-11 11:00:00,US,3109324,454146,374735
2020-01-11 12:00:00,EU,5518924,1172684,598757
2020-01-11 12:00:00,US,3381240,496278,486158
2020-01-11 13:00:00,EU,5367471,1116008,558290
2020-01-11 13:00:00,US,3464893,562448,618400
2020-01-11 14:00:00,EU,5284566,1062823,525199
2020-01-11 14:00:00,US,3648582,612428,702542
2020-01-11 15:00:00,EU,4409118,874275,429632
2020-01-11 15:00:00,US,3553136,620245,744421
2020-01-11 16:00:00,EU,3890321,799320,400284
2020-01-11 16:00:00,US,3537887,604666,736370
2020-01-11 17:00:00,EU,3417630,721764,375310
2020-01-11 17:00:00,US,3432088,616666,786281
2020-01-11 18:00:00,EU,2807490,594561,331088
2020-01-11 18:00:00,US,3252631,589853,765776
2020-01-11 19:00:00,EU,2662084,586620,360673
2020-01-11 19:00:00,US,3244062,598568,826182
2020-01-11 20:00:00,EU,3009343,775708,386943
2020-01-11 20:00:00,US,3129293,574305,859010
2020-01-11 21:00:00,EU,3871298,988934,415234
2020-01-11 21:00:00,US,3086255,580171,772902
2020-01-11 22:00:00,EU,3552225,972415,364869
2020-01-11 22:00:00,US,2729311,536455,649638
2020-01-11 23:00:00,EU,2670192,702378,272630
2020-01-11 23:00:00,US,2578682,511324,626620
2020-01-12 0:00:00,EU,2641616,646484,255232
2020-01-12 0:00:00,US,2830426,588699,840688
2020-01-12 1:00:00,EU,2816200,715938,261534
2020-01-12 1:00:00,US,2933471,644565,947900
2020-01-12 2:00:00,EU,2690256,686689,231568
2020-01-12 2:00:00,US,2894884,629061,881761
2020-01-12 3:00:00,EU,2843679,726833,232512
2020-01-12 3:00:00,US,2795436,628052,822097
2020-01-12 4:00:00,EU,3049541,738123,225876
2020-01-12 4:00:00,US,2624502,569438,727255
2020-01-12 5:00:00,EU,3936156,1007101,349822
2020-01-12 5:00:00,US,2906448,601154,742707
2020-01-12 6:00:00,EU,4625826,1191904,422233
2020-01-12 6:00:00,US,2947319,551403,609596
2020-01-12 7:00:00,EU,4987094,1303748,466498
2020-01-12 7:00:00,US,2844875,449445,480288
2020-01-12 8:00:00,EU,5138465,1340885,547035
2020-01-12 8:00:00,US,2864649,416567,370561
2020-01-12 9:00:00,EU,5200034,1331104,612525
2020-01-12 9:00:00,US,2698532,385832,319601
2020-01-12 10:00:00,EU,5348049,1266555,621041
2020-01-12 10:00:00,US,2893875,393495,298329
2020-01-12 11:00:00,EU,5257846,1212545,604803
2020-01-12 11:00:00,US,3161247,443387,329947
2020-01-12 12:00:00,EU,5370744,1162207,581864
